,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
29165299,9.480861336114657e+18,0,14102810,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,32194bf5,68b6db2c,1,0,20251,320,50,2323,0,687,100081,48
4458774,1.6583491585763363e+19,0,14102203,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,2439d043,8a4875bd,1,0,21727,320,50,2502,0,35,-1,221
12297127,1.3683276779807736e+19,0,14102316,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,97022aef,be6db1d7,1,0,4687,320,50,423,2,39,100148,32
23240138,9.552642920097548e+18,0,14102617,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a3aad2bc,779d90c2,1,0,17014,320,50,1872,3,39,-1,23
23273748,1.3105977474942188e+19,0,14102618,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,33c384d8,99e427c9,1,0,21611,320,50,2480,3,297,100111,61
22411177,9.40359478320684e+18,0,14102613,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,0f7a5124,73f7739d,1c6a881d,1,2,17017,320,50,1873,3,39,-1,23
3607812,6.536076529874386e+17,0,14102118,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,b094fb44,2c319f1f,24f6b932,1,0,18094,320,50,2060,3,39,100048,23
5996486,1.532221626695898e+19,0,14102209,1005,0,85f751fd,c4e18dd6,50e219e0,a5184c22,b8d325c3,0f2161f8,a99f214a,70818150,d787e91b,1,0,21767,320,50,2506,0,35,-1,157
35256464,1.3902895414538732e+19,0,14102916,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,31b2d7a4,496515fa,1,3,21189,320,50,2424,1,175,100189,71
27958384,1.5455752718173237e+19,0,14102806,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8498cea8,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
6265183,8.684944230624788e+17,0,14102209,1005,0,85f751fd,c4e18dd6,50e219e0,9fd6a20f,d9b5648e,0f2161f8,a99f214a,8d92abbc,f51246a7,1,0,20751,320,50,1895,0,681,100028,101
31502692,2.88957190162843e+18,0,14102818,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,b5e31055,981edffc,1,3,21189,320,50,2424,1,161,100193,71
10634074,1.1353192371871513e+19,0,14102307,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0489ce3f,a0f5f879,1,0,17753,320,50,1993,2,1063,-1,33
37276659,1.6491849786130006e+19,0,14103006,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,f532df42,8a4875bd,1,0,23160,320,50,2667,0,35,-1,221
2253422,7.576843808162628e+18,0,14102110,1005,0,f6cba1bd,5c9c05b7,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,217344c8,05e70df4,1,0,20387,320,50,2338,0,35,-1,79
8658281,1.3895117692633252e+19,0,14102218,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3c82662a,3bb1ddd7,1,0,9478,320,50,906,3,1451,100156,61
15906036,1.287446248838113e+18,0,14102416,1005,0,85f751fd,c4e18dd6,50e219e0,cc1c2bd2,2347f47a,cef3e649,a99f214a,49c22c54,ce12dd72,1,0,22268,320,50,2566,3,41,100155,42
9529794,6.350300370284539e+18,0,14102300,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3d824fae,0009f4d7,1,0,16687,320,50,1872,3,39,-1,23
11054270,1.3648516485034863e+19,0,14102309,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,b96d4c45,adcb08ec,fa61e8fe,1,0,1038,320,50,178,3,1327,-1,15
12137600,1.8854400775839534e+18,1,14102315,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,d6ec8aeb,cd5b1559,1,2,463,320,50,122,3,1327,-1,15
33149534,1.302314268651e+19,0,14102905,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,eff71b73,be87996b,1,2,19950,320,50,1800,3,167,100075,23
5725222,3.437416583769171e+18,0,14102208,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a1ebe727,8a4875bd,1,0,15708,320,50,1722,0,35,-1,79
32520284,1.6157663040992815e+19,0,14102901,1005,0,85f751fd,c4e18dd6,50e219e0,f888bf4c,5b9c592b,0f2161f8,37b919fc,e54c1344,6332421a,1,0,23394,320,50,2681,1,419,-1,212
24192782,7.751677908785534e+18,1,14102703,1005,1,34040f5c,c5206c87,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,30da4ffc,8b1aa260,1,0,22221,320,50,2560,3,43,100181,61
26260890,3.8984626169598633e+18,0,14102717,1005,0,38217daf,449497bc,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1e8ce097,977a2929,1,2,20345,300,250,2331,2,39,100034,23
7141298,1.0634691414057361e+19,0,14102212,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,765f93aa,8a4875bd,1,0,21877,320,50,2526,0,35,-1,221
3787408,1.4195765599317737e+19,0,14102120,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,a99f214a,a90f92ef,7abbbd5c,1,0,6563,320,50,572,2,39,-1,32
11501594,7.802725876248261e+18,0,14102311,1005,0,85f751fd,c4e18dd6,50e219e0,de23f149,ae637522,0f2161f8,a99f214a,49aac304,36b67a2a,1,3,21816,320,50,2519,1,171,100191,71
27534860,5.083716003657097e+18,0,14102803,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fc052af7,e6f3a5c2,1,0,22681,320,50,2528,0,39,100077,221
34271871,1.3173373702400481e+19,0,14102911,1005,1,92c7cbe7,6e882918,75fa27f6,ecad2386,7801e8d9,07d7df22,a99f214a,974f4d20,711ee120,1,0,23562,320,50,2691,0,419,100084,212
6953318,2.594162692130685e+17,0,14102211,1005,0,85f751fd,c4e18dd6,50e219e0,4b08f369,2347f47a,0f2161f8,a99f214a,0e85452c,5096d134,1,0,21767,320,50,2506,0,35,-1,157
12685203,3.000209160080017e+18,0,14102318,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,aa42be81,4ea23a13,1,0,17614,320,50,1993,2,1063,-1,33
32017011,1.4346029675708948e+18,1,14102821,1005,1,cbb01868,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,061513f4,da656fc6,1,0,20151,216,36,2307,3,163,100020,61
4020866,4.734113867347852e+18,0,14102122,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,4418e97f,aad45b01,1,0,21706,320,50,2498,3,169,100111,61
29220124,1.3007237158399703e+19,1,14102811,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,41e3da23,d787e91b,1,0,8330,320,50,761,3,175,-1,23
2726809,4.267712278756388e+18,0,14102113,1005,1,85f751fd,c4e18dd6,50e219e0,d644e4e7,2347f47a,0f2161f8,a99f214a,46f9665e,e55b4de4,1,0,21665,320,50,2493,3,35,-1,117
4424051,1.2370039382673416e+19,1,14102203,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,623beef8,8571106b,1,0,17654,300,250,1994,2,39,-1,33
11354037,9.22894574753844e+18,0,14102310,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,0207ad4c,6332421a,1,0,6616,320,50,576,2,35,100210,32
